   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   0   0   2   0   2   0   0   0   2   0   2   2   2   2   0 
  2|   0   0   2   0   0   0   0   0   2   6   0   2   0   2   2   0 
  3|   2   0   2   0   2   2   0   2   0   2   0   2   0   2   0   0 
  4|   0   0   2   0   0   2   0   2   2   0   2   2   0   2   0   2 
  5|   0   0   2   2   0   2   6   2   0   0   0   0   0   0   2   0 
  6|   0   2   2   2   0   2   2   0   0   0   0   2   2   0   0   2 
  7|   2   0   0   0   0   0   0   0   2   0   0   0   2   0   4   6 
  8|   2   0   0   0   0   0   6   2   0   0   0   2   0   0   2   2 
  9|   0   0   2   0   0   2   2   0   2   0   0   4   0   2   0   2 
  a|   2   0   2   0   0   2   0   0   0   0   0   0   0   2   2   6 
  b|   2   0   2   2   2   0   2   0   0   0   0   2   2   0   0   2 
  c|   2   0   0   2   2   0   0   0   2   0   0   2   2   2   2   0 
  d|   6   2   0   0   0   2   0   0   0   0   0   0   2   2   2   0 
  e|   2   0   2   0   0   4   0   2   0   2   2   0   0   2   0   0 
  f|   2   0   0   2   0   0   0   2   2   6   0   0   0   0   2   0 
