   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   4   0   2   2   0   2   0   2   0   0   2   0   0   2   0   0 
  2|   0   0   0   2   0   0   0   2   0   2   4   2   0   2   0   2 
  3|   2   0   0   0   0   0   0   2   0   2   2   0   2   2   2   2 
  4|   0   0   0   0   0   2   2   0   2   0   2   2   2   2   0   2 
  5|   0   0   0   0   0   4   0   0   0   2   2   2   0   2   2   2 
  6|   0   2   4   0   2   2   0   2   0   0   0   0   2   0   0   2 
  7|   2   2   0   0   2   2   0   0   2   0   0   0   2   0   0   4 
  8|   2   2   0   2   0   2   0   0   0   0   2   2   0   2   0   2 
  9|   0   0   2   2   0   2   2   0   0   0   2   0   0   2   2   2 
  a|   2   2   2   0   2   0   0   0   0   0   4   0   2   0   0   2 
  b|   2   2   0   0   2   0   0   2   2   0   0   0   2   2   0   2 
  c|   4   0   0   0   0   2   0   2   4   0   0   2   0   2   0   0 
  d|   4   0   2   0   0   2   0   0   2   0   2   0   0   0   2   2 
  e|   0   2   2   0   0   0   2   2   0   0   2   0   0   2   2   2 
  f|   0   2   0   0   2   2   0   2   0   0   2   2   0   2   0   2 
