   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   4   0   0   0   0   0   0   0   2   4   0   2   2   0   0 
  2|   4   2   0   2   2   0   0   0   0   2   2   0   0   2   0   0 
  3|   2   2   0   0   2   0   0   0   0   4   2   2   2   0   0   0 
  4|   4   2   0   2   0   0   0   2   0   4   0   0   0   2   0   0 
  5|   2   4   0   2   2   0   0   0   0   2   0   2   0   2   0   0 
  6|   4   2   0   0   0   0   0   0   0   2   4   0   0   4   0   0 
  7|   6   2   0   0   0   0   0   2   0   2   0   2   2   0   0   0 
  8|   6   2   0   0   2   0   0   0   2   2   0   0   2   0   0   0 
  9|   2   2   0   0   2   0   0   0   4   0   4   0   0   2   0   0 
  a|   2   2   0   2   0   0   0   0   2   2   2   0   2   2   0   0 
  b|   4   2   0   0   0   0   0   0   2   4   2   2   0   0   0   0 
  c|   2   4   0   2   0   0   0   2   0   4   0   0   2   0   0   0 
  d|   2   2   0   2   0   0   0   0   2   2   0   2   0   4   0   0 
  e|   0   4   0   0   2   0   0   0   2   2   4   0   0   2   0   0 
  f|   4   0   0   0   0   0   0   2   4   2   0   2   0   2   0   0 
