   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   0   2   2   0   4   0   0   0   0   0   0   4   0   0   2 
  2|   0   2   2   0   0   2   0   0   0   2   2   2   0   0   0   4 
  3|   0   0   0   2   0   0   2   2   0   0   4   0   0   2   2   2 
  4|   0   0   0   0   0   0   2   0   2   0   0   0   2   2   2   6 
  5|   2   0   0   4   0   0   0   0   0   0   2   2   0   4   0   2 
  6|   4   0   0   0   0   2   0   4   0   0   2   0   2   2   0   0 
  7|   2   0   4   0   0   2   2   0   2   2   0   0   2   0   0   0 
  8|   2   2   0   0   2   0   0   4   2   2   2   0   0   0   0   0 
  9|   0   0   2   0   2   2   2   2   4   0   0   0   2   0   0   0 
  a|   0   0   2   0   0   0   0   0   4   0   0   4   0   2   2   2 
  b|   0   0   0   0   0   0   0   6   0   0   2   0   0   6   2   0 
  c|   0   2   0   0   0   2   0   2   2   0   0   2   0   0   2   4 
  d|   0   0   2   0   0   0   0   4   0   0   6   2   0   2   0   0 
  e|   4   2   0   0   4   2   0   2   0   0   0   0   0   2   0   0 
  f|   2   2   2   2   0   2   0   0   4   0   0   2   0   0   0   0 
