   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   0   0   0   2   0   0   0   4   2   2   0   0   0   4   2 
  2|   0   0   0   0   0   0   0   2   0   0   6   2   4   0   2   0 
  3|   0   0   2   2   6   2   2   0   0   0   0   0   0   0   2   0 
  4|   2   4   0   2   2   2   0   2   0   0   0   0   0   2   0   0 
  5|   0   0   0   2   0   0   0   0   2   4   0   4   0   2   2   0 
  6|   0   0   0   0   0   0   0   2   2   0   2   4   0   2   0   4 
  7|   2   2   0   4   2   2   0   2   0   0   0   0   0   0   0   2 
  8|   2   0   0   0   0   0   0   0   6   2   2   0   2   0   0   2 
  9|   4   0   0   2   2   0   4   2   2   0   0   0   0   0   0   0 
  a|   2   0   4   2   2   0   2   2   0   0   0   0   0   0   2   0 
  b|   0   0   0   0   2   0   0   0   0   0   4   0   4   2   2   2 
  c|   0   0   0   0   0   2   0   0   2   2   0   4   0   2   2   2 
  d|   0   6   0   4   0   2   0   2   0   0   0   2   0   0   0   0 
  e|   0   0   2   2   2   2   0   6   0   0   0   0   0   0   0   2 
  f|   2   0   0   0   0   0   0   0   0   2   0   4   2   2   0   4 
