   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   4   0   0   0   0   2   0   0   2   2   0   2   2   0   2   0 
  2|   2   0   2   0   2   2   0   2   0   0   2   0   0   2   2   0 
  3|   2   2   2   0   0   0   0   0   2   0   2   0   2   0   4   0 
  4|   0   0   0   0   0   0   0   2   0   4   2   0   2   2   2   2 
  5|   0   2   2   0   0   2   0   4   0   0   2   0   0   0   2   2 
  6|   2   0   2   0   0   0   0   2   0   4   0   2   0   2   2   0 
  7|   2   0   2   0   0   2   0   4   2   2   0   2   0   0   0   0 
  8|   2   0   0   2   0   0   2   0   2   2   0   2   0   2   0   2 
  9|   2   2   0   2   0   2   2   0   0   0   0   0   0   2   2   2 
  a|   0   0   0   2   0   0   0   0   0   0   2   2   2   2   2   4 
  b|   0   2   0   4   2   0   0   2   0   0   2   2   0   0   2   0 
  c|   0   2   2   0   4   0   2   0   0   0   2   0   2   0   2   0 
  d|   0   0   0   0   2   0   2   2   2   2   2   0   0   2   2   0 
  e|   2   2   0   0   4   2   4   0   0   2   0   0   0   0   0   0 
  f|   2   0   0   0   4   0   0   0   2   0   2   0   2   2   2   0 
