   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   4   2   0   2   0   0   2   2   0   2   0   2   0   0   0 
  2|   0   2   0   0   2   0   2   0   2   2   0   0   0   2   0   4 
  3|   0   0   2   2   0   2   0   0   2   0   0   0   4   2   2   0 
  4|   2   0   2   2   2   0   2   0   0   2   2   0   0   0   0   2 
  5|   0   0   0   0   2   2   0   2   2   0   2   2   0   0   4   0 
  6|   0   0   0   0   0   0   4   2   0   2   0   4   2   2   0   0 
  7|   0   2   0   0   0   2   0   2   2   0   2   0   2   2   0   2 
  8|   4   0   2   0   0   0   4   0   0   2   0   2   0   0   0   2 
  9|   0   2   0   2   0   0   0   2   0   0   4   2   2   2   0   0 
  a|   2   2   2   0   0   0   0   0   2   2   0   0   0   2   0   4 
  b|   0   0   0   2   2   2   0   0   0   0   2   2   2   0   4   0 
  c|   0   0   0   2   4   0   4   0   0   2   2   0   0   0   0   2 
  d|   0   0   2   0   0   2   0   2   4   0   0   0   2   2   2   0 
  e|   4   0   2   0   0   2   2   0   0   0   0   4   0   0   2   0 
  f|   0   2   0   0   2   0   2   4   0   0   4   0   2   0   0   0 
