   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   2   0   0   2   2   2   0   0   0   2   0   2   2   0   0 
  2|   4   0   2   0   0   2   0   2   0   0   2   2   2   0   0   0 
  3|   4   0   0   2   0   0   4   0   0   2   2   0   0   2   0   0 
  4|   2   0   2   0   0   2   0   0   2   2   0   2   0   0   0   4 
  5|   0   0   0   0   2   0   0   0   2   2   2   0   2   0   2   4 
  6|   0   0   2   0   0   2   0   2   0   2   2   0   2   2   0   2 
  7|   0   0   2   2   0   0   2   0   2   2   0   2   0   0   0   4 
  8|   2   0   0   2   2   0   2   2   0   0   2   0   0   0   2   2 
  9|   2   0   2   2   0   2   4   2   0   0   0   0   0   0   2   0 
  a|   2   0   0   2   2   2   2   0   0   0   0   2   0   2   0   2 
  b|   2   0   0   2   2   0   2   2   0   2   0   0   2   0   2   0 
  c|   0   0   0   0   0   0   2   0   2   2   2   0   4   0   0   4 
  d|   2   0   2   0   0   0   2   0   0   4   0   2   2   0   2   0 
  e|   2   0   0   0   2   0   2   0   2   2   0   0   2   2   0   2 
  f|   2   0   0   2   0   2   0   0   0   4   0   2   4   0   0   0 
