   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   0   2   2   0   0   0   6   0   0   2   0   0   0   2   0 
  2|   2   4   0   0   0   2   0   0   0   0   0   2   2   0   4   0 
  3|   2   0   2   0   0   0   4   0   0   2   0   2   2   0   2   0 
  4|   0   0   2   0   0   0   2   0   4   0   4   2   0   2   0   0 
  5|   2   0   0   0   0   2   0   0   4   0   2   0   0   2   0   4 
  6|   0   0   0   4   2   0   2   0   2   2   2   2   0   0   0   0 
  7|   0   2   0   2   4   0   0   0   2   0   0   2   0   2   2   0 
  8|   2   0   0   0   0   4   0   2   0   0   0   2   2   2   0   2 
  9|   0   0   4   0   0   0   0   4   2   0   0   2   2   2   0   0 
  a|   0   0   0   0   2   2   0   0   0   2   0   2   2   2   4   0 
  b|   0   0   0   2   0   0   2   4   0   4   0   2   2   0   0   0 
  c|   0   0   0   2   2   0   0   4   0   0   2   0   0   4   0   2 
  d|   4   0   0   2   2   0   0   0   0   0   2   0   0   4   0   2 
  e|   0   0   0   4   2   0   6   0   0   0   0   0   0   0   0   4 
  f|   0   6   0   2   2   2   0   0   0   0   0   0   2   2   0   0 
