   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   0   2   2   0   0   0   0   2   0   4   0   0   2   2   0 
  2|   2   0   2   0   0   0   0   2   2   0   0   2   0   2   2   2 
  3|   4   2   2   0   2   4   0   0   0   0   0   0   0   2   0   0 
  4|   2   0   0   2   2   2   2   0   2   0   0   2   0   2   0   0 
  5|   0   0   2   2   0   0   2   0   2   0   2   0   2   2   2   0 
  6|   0   0   2   4   0   0   0   0   4   0   0   2   2   0   0   2 
  7|   2   4   2   0   0   0   2   0   2   0   0   2   0   2   0   0 
  8|   4   0   2   2   2   0   0   0   2   0   0   2   2   0   0   0 
  9|   0   0   0   0   0   0   2   0   4   0   2   2   0   2   4   0 
  a|   0   0   0   0   0   0   2   0   2   0   2   4   2   2   0   2 
  b|   0   0   2   2   0   4   2   0   2   2   0   0   2   0   0   0 
  c|   2   0   2   0   4   2   0   0   4   0   0   0   0   2   0   0 
  d|   4   0   0   0   0   0   2   0   0   0   2   2   0   2   4   0 
  e|   4   0   0   2   0   0   0   0   2   0   2   2   0   0   0   4 
  f|   4   2   2   0   0   2   0   0   2   2   0   0   0   2   0   0 
