   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   2   2   0   0   2   0   4   0   2   0   0   2   0   2   0 
  2|   0   2   0   6   0   0   2   0   2   0   0   0   0   0   2   2 
  3|   2   2   0   0   4   0   2   0   0   0   2   0   0   0   0   4 
  4|   4   0   2   0   0   2   0   2   0   2   0   2   0   0   0   2 
  5|   0   0   0   0   0   0   2   8   0   2   0   0   2   0   2   0 
  6|   0   2   0   4   0   0   4   0   4   0   0   0   2   0   0   0 
  7|   0   2   0   0   4   0   0   0   2   2   0   0   0   2   0   4 
  8|   0   2   0   0   2   0   6   0   0   0   2   2   0   0   0   2 
  9|   0   4   0   4   0   0   0   2   4   0   2   0   0   0   0   0 
  a|   0   0   2   0   0   4   0   4   2   2   0   0   0   0   2   0 
  b|   4   0   0   0   0   0   0   2   0   4   0   2   0   0   2   2 
  c|   0   2   0   0   4   0   4   0   0   0   0   0   0   2   2   2 
  d|   0   4   0   2   0   0   0   0   4   0   0   0   2   2   0   2 
  e|   2   0   0   0   0   0   0   4   2   2   0   0   2   0   4   0 
  f|   2   0   4   0   0   0   0   0   0   2   0   2   0   0   4   2 
