   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   2   0   2   0   0   4   0   2   0   2   2   0   0   0   0 
  2|   2   2   0   0   0   0   0   2   0   4   0   0   2   0   2   2 
  3|   0   4   0   0   2   2   2   0   0   2   2   0   0   0   0   2 
  4|   4   0   2   0   0   0   0   0   0   4   0   2   0   2   0   2 
  5|   2   2   0   2   0   2   0   2   0   0   0   2   0   0   0   4 
  6|   2   2   2   0   2   2   0   0   0   2   0   0   0   0   4   0 
  7|   0   0   0   2   2   0   2   0   2   2   2   0   0   0   2   2 
  8|   2   0   0   0   2   0   0   2   2   0   0   0   0   0   4   4 
  9|   0   0   2   0   2   0   2   0   2   0   0   0   2   0   4   2 
  a|   0   2   0   0   0   0   2   2   2   2   0   2   0   0   2   2 
  b|   2   0   2   0   0   0   2   0   0   2   0   2   0   2   0   4 
  c|   0   2   0   0   0   2   0   2   0   2   0   0   2   2   0   4 
  d|   0   2   0   0   2   0   0   2   0   0   0   2   2   0   2   4 
  e|   2   2   2   0   0   2   2   0   0   0   2   0   0   0   2   2 
  f|   4   0   0   0   2   0   4   0   0   2   0   2   0   2   0   0 
