   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   4   0   0   2   0   2   2   0   2   0   0   0   2   0   0   2 
  2|   2   2   0   4   0   0   2   0   2   0   2   0   0   0   2   0 
  3|   2   2   0   2   0   0   4   0   0   0   0   2   2   0   2   0 
  4|   0   2   4   0   0   0   0   0   2   0   0   0   0   2   4   2 
  5|   2   2   4   0   0   0   0   2   2   0   0   2   0   0   2   0 
  6|   2   2   0   0   2   0   0   0   2   2   0   0   2   2   2   0 
  7|   0   4   0   2   0   0   0   0   4   2   0   0   0   0   2   2 
  8|   2   0   2   2   0   0   0   0   2   0   0   0   2   0   2   4 
  9|   2   0   0   0   0   0   2   2   2   0   0   0   0   2   0   6 
  a|   2   2   0   2   2   0   2   0   0   2   0   0   2   0   2   0 
  b|   2   2   0   0   0   2   0   0   2   2   0   0   4   0   2   0 
  c|   2   2   0   0   0   0   2   0   0   0   0   0   0   6   2   2 
  d|   2   2   0   0   0   2   0   0   2   2   0   0   0   4   2   0 
  e|   0   2   0   0   0   0   2   2   2   0   0   0   2   0   4   2 
  f|   2   2   0   2   0   0   2   2   0   0   0   2   0   2   2   0 
