   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   0   0   2   0   0   2   0   2   2   0   0   2   2   0   2 
  2|   2   0   2   0   0   0   2   0   2   0   0   2   2   0   2   2 
  3|   0   2   0   2   2   0   2   2   0   0   2   2   2   0   0   0 
  4|   0   0   2   2   0   0   2   0   2   2   0   0   0   2   2   2 
  5|   2   2   0   0   0   2   0   0   0   2   2   0   0   2   0   4 
  6|   0   0   0   2   2   0   2   0   0   0   0   2   2   2   2   2 
  7|   0   2   4   2   0   2   0   0   0   2   0   2   0   0   0   2 
  8|   0   2   0   4   0   2   2   0   0   0   0   2   2   0   0   2 
  9|   0   0   0   2   0   2   2   0   2   2   2   0   0   0   2   2 
  a|   2   0   0   2   4   2   0   0   0   0   0   0   0   2   2   2 
  b|   2   0   2   2   0   0   2   2   2   2   0   2   0   0   0   0 
  c|   2   0   0   2   0   2   0   0   2   2   2   2   2   0   0   0 
  d|   2   0   0   0   2   2   4   0   0   0   0   2   4   0   0   0 
  e|   0   0   2   2   0   0   0   2   2   0   2   0   2   2   0   2 
  f|   2   0   2   0   2   0   0   0   0   2   2   0   2   2   2   0 
