   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   4   0   0   2   4   0   2   0   0   0   2   0   0   2   0   0 
  2|   0   4   2   0   0   2   4   0   0   2   0   0   2   0   0   0 
  3|   0   2   2   0   2   4   2   0   0   0   0   0   2   0   0   2 
  4|   0   0   2   2   0   2   2   0   2   0   0   2   2   0   0   2 
  5|   2   0   0   0   0   4   2   0   2   0   0   0   2   0   0   4 
  6|   4   0   2   0   2   0   0   0   0   4   2   0   0   0   2   0 
  7|   0   0   0   0   4   0   2   2   0   6   2   0   0   0   0   0 
  8|   4   0   0   2   4   0   0   2   0   2   0   0   0   0   0   2 
  9|   4   0   0   0   2   0   0   2   0   2   2   0   0   2   0   2 
  a|   0   0   0   0   0   8   4   0   0   2   0   2   0   0   0   0 
  b|   0   4   0   2   0   2   4   0   0   0   0   2   0   0   0   2 
  c|   0   0   2   0   0   4   0   2   0   0   0   2   2   0   0   4 
  d|   0   4   2   2   0   0   0   0   0   0   0   0   2   0   0   6 
  e|   2   0   0   2   0   0   2   2   0   2   2   0   0   2   2   0 
  f|   4   0   0   2   0   0   2   0   0   4   2   0   0   2   0   0 
