   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   0   0   0   2   2   4   0   4   2   0   0   0   0   0   0 
  2|   2   0   0   0   2   0   2   0   6   2   0   2   0   0   0   0 
  3|   6   2   2   0   0   0   0   0   2   0   0   0   0   2   2   0 
  4|   0   0   4   2   2   0   0   2   0   0   2   0   0   2   0   2 
  5|   0   0   4   0   0   2   2   2   0   0   0   4   2   0   0   0 
  6|   0   0   2   0   2   0   0   2   0   0   2   4   2   0   0   2 
  7|   0   0   2   2   0   0   0   2   0   0   4   0   2   2   0   2 
  8|   0   0   0   2   2   0   0   2   0   0   2   4   0   2   0   2 
  9|   0   0   4   0   0   2   0   0   0   0   0   4   2   0   2   2 
  a|   0   0   2   2   0   0   0   2   0   0   0   4   2   2   0   2 
  b|   0   0   0   2   0   2   0   2   0   0   4   2   0   2   0   2 
  c|   6   0   0   0   0   0   0   4   2   4   0   0   0   0   0   0 
  d|   2   4   0   0   0   0   0   0   4   2   0   0   2   2   0   0 
  e|   2   2   0   2   0   0   0   0   4   2   0   0   2   0   0   2 
  f|   4   2   0   0   0   2   0   2   2   2   2   0   0   0   0   0 
