   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   4   2   0   0   0   0   0   2   0   2   0   0   2   4   0 
  2|   2   2   0   0   2   0   0   0   0   0   0   2   0   2   2   4 
  3|   0   4   0   2   0   4   0   0   0   0   0   0   4   0   2   0 
  4|   0   0   0   0   2   2   2   0   0   0   2   0   0   0   0   8 
  5|   0   4   0   0   0   2   0   4   0   0   0   2   0   2   2   0 
  6|   4   0   0   0   2   0   0   0   2   0   0   4   0   0   2   2 
  7|   0   2   0   2   0   0   2   0   0   2   4   0   0   0   4   0 
  8|   2   0   2   0   0   2   0   0   2   0   0   0   2   0   6   0 
  9|   4   2   0   0   2   0   2   0   0   0   0   0   2   2   0   2 
  a|   0   4   2   2   0   2   0   0   0   0   2   0   2   0   0   2 
  b|   2   2   2   2   2   0   0   0   0   2   0   4   0   0   0   0 
  c|   0   4   0   0   0   0   0   2   2   0   4   0   0   2   0   2 
  d|   0   0   2   2   0   2   0   0   0   2   0   4   0   0   0   4 
  e|   2   0   0   2   0   2   2   2   0   0   2   0   0   0   4   0 
  f|   0   0   0   0   4   0   2   0   0   0   0   2   2   2   2   2 
