   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   0   0   0   2   4   0   0   0   0   0   4   0   2   4   0 
  2|   2   0   2   0   0   0   0   2   4   0   2   2   0   2   0   0 
  3|   0   0   0   2   0   2   2   0   0   2   0   0   2   2   2   2 
  4|   0   0   6   0   0   0   0   0   2   2   2   0   0   4   0   0 
  5|   0   0   0   4   0   0   0   2   0   4   0   0   2   2   0   2 
  6|   4   0   4   0   0   2   0   0   0   2   2   0   0   0   0   2 
  7|   0   2   0   0   4   0   0   4   0   0   0   2   0   2   2   0 
  8|   2   0   2   0   0   0   2   0   0   2   0   2   4   0   0   2 
  9|   0   2   4   0   0   2   0   2   0   2   0   0   0   2   2   0 
  a|   0   2   4   0   4   0   0   0   0   0   0   2   2   0   0   2 
  b|   0   2   0   0   0   2   0   2   0   4   2   0   0   0   0   4 
  c|   2   2   2   0   2   0   2   0   0   0   0   2   0   2   2   0 
  d|   2   0   0   2   0   2   0   0   2   0   0   2   2   0   0   4 
  e|   4   0   2   0   0   0   4   0   0   2   0   0   2   0   2   0 
  f|   0   0   2   0   0   2   0   2   2   0   0   4   2   2   0   0 
