   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   0   2   2   0   2   0   0   2   4   0   0   2   0   0   2   0 
  2|   4   2   0   0   0   0   0   2   2   0   2   0   0   0   2   2 
  3|   0   2   0   0   0   0   0   2   2   2   2   2   2   0   0   2 
  4|   2   2   0   0   0   2   0   2   2   2   0   2   2   0   0   0 
  5|   4   0   0   0   2   0   0   2   2   2   0   2   2   0   0   0 
  6|   0   4   2   0   0   0   0   2   4   0   0   4   0   0   0   0 
  7|   6   0   0   2   0   2   2   0   0   0   2   0   0   0   0   2 
  8|   0   2   0   0   0   0   2   0   2   4   2   0   0   0   4   0 
  9|   2   2   0   0   0   2   2   0   2   0   2   2   0   0   2   0 
  a|   2   2   0   0   2   0   0   2   0   6   0   0   0   0   2   0 
  b|   4   4   2   0   0   2   0   0   0   2   0   2   0   0   0   0 
  c|   2   4   2   0   0   2   2   0   0   0   0   2   0   0   0   2 
  d|   0   4   2   2   0   0   0   0   0   4   2   0   0   0   2   0 
  e|   2   2   0   0   0   4   0   0   2   2   0   2   0   0   2   0 
  f|   2   2   0   0   0   0   0   0   0   4   0   2   2   2   2   0 
