   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   0   0   2   0   0   2   2   4   0   0   0   4   0   0   0 
  2|   2   0   0   0   0   0   2   0   0   2   2   2   2   0   0   4 
  3|   0   0   0   2   0   0   2   4   2   0   4   0   0   0   0   2 
  4|   2   0   2   0   4   4   0   0   0   4   0   0   0   0   0   0 
  5|   0   2   2   2   0   2   0   0   2   2   2   0   2   0   0   0 
  6|   0   0   0   0   0   2   2   0   0   2   0   2   0   2   2   4 
  7|   0   0   0   6   0   0   2   0   0   0   2   0   0   2   4   0 
  8|   0   0   0   2   0   0   2   0   0   8   2   0   0   2   0   0 
  9|   0   4   0   0   0   4   0   0   0   2   2   0   0   0   2   2 
  a|   2   0   2   2   0   2   4   0   0   2   0   0   0   0   0   2 
  b|   0   0   0   4   0   4   0   0   0   0   0   0   2   0   6   0 
  c|   4   0   0   2   0   0   2   0   2   0   0   0   0   4   0   2 
  d|   2   2   0   2   0   2   0   0   2   0   2   2   2   0   0   0 
  e|   2   0   2   0   2   0   4   2   0   0   0   0   2   0   0   2 
  f|   4   0   0   0   0   0   0   4   0   0   4   0   2   0   2   0 
