   |   0   1   2   3   4   5   6   7   8   9   a   b   c   d   e   f
--------------------------------------------------------------------
  0|  16   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0 
  1|   2   0   0   2   2   0   0   4   2   0   0   2   0   2   0   0 
  2|   0   4   4   0   2   0   0   0   2   2   0   0   2   0   0   0 
  3|   0   4   0   2   0   2   2   0   0   0   2   0   2   0   0   2 
  4|   4   0   2   2   0   2   0   4   0   0   0   0   0   2   0   0 
  5|   6   0   0   2   0   0   2   0   2   2   0   0   0   2   0   0 
  6|   0   2   2   2   0   2   2   0   0   2   0   0   2   0   0   2 
  7|   0   6   2   0   2   0   0   0   2   2   0   0   0   0   0   2 
  8|   0   4   0   0   0   4   2   0   2   2   0   0   0   0   2   0 
  9|   0   4   2   2   0   2   4   0   0   0   0   0   0   2   0   0 
  a|   4   0   2   0   0   0   0   4   2   2   2   0   0   0   0   0 
  b|   2   0   2   2   2   0   0   2   0   2   0   0   0   2   0   2 
  c|   0   2   2   0   0   2   4   0   2   0   0   2   2   0   0   0 
  d|   2   6   0   2   0   2   2   0   2   0   0   0   0   0   0   0 
  e|   4   0   2   0   2   0   0   2   0   0   2   0   0   2   0   2 
  f|   4   2   0   0   2   0   0   2   2   2   2   0   0   0   0   0 
